ticket_id,date_ouverture,date_fermeture,statut,site,categorie,satisfaction
TCK-2026-001,2026-01-03,2026-01-05,Ferme,Tunis,Reseau,4
TCK-2026-002,2026-01-06,,Ouvert,Sfax,Materiel,
TCK-2026-003,2026-01-08,2026-01-10,Ferme,Sousse,Logiciel,5
TCK-2026-004,2026-01-12,2026-01-13,Ferme,Tunis,Acces,3
TCK-2026-005,2026-01-15,,Ouvert,Bizerte,Email,
TCK-2026-006,2026-02-02,2026-02-03,Ferme,Sfax,Reseau,4
TCK-2026-007,2026-02-05,,Ouvert,Tunis,Logiciel,
TCK-2026-008,2026-02-08,2026-02-12,Ferme,Sousse,Materiel,4
TCK-2026-009,2026-02-14,2026-02-17,Ferme,Bizerte,Acces,2
TCK-2026-010,2026-02-20,,Ouvert,Tunis,Email,
TCK-2026-011,2026-03-01,2026-03-02,Ferme,Sfax,Logiciel,5
TCK-2026-012,2026-03-04,,Ouvert,Sousse,Reseau,
TCK-2026-013,2026-03-07,2026-03-09,Ferme,Tunis,Materiel,4
TCK-2026-014,2026-03-11,2026-03-12,Ferme,Bizerte,Logiciel,3
TCK-2026-015,2026-03-16,,Ouvert,Sfax,Acces,
TCK-2026-016,2026-04-02,2026-04-04,Ferme,Tunis,Email,4
TCK-2026-017,2026-04-06,,Ouvert,Sousse,Materiel,
TCK-2026-018,2026-04-09,2026-04-11,Ferme,Sfax,Reseau,5
TCK-2026-019,2026-04-13,2026-04-14,Ferme,Tunis,Logiciel,3
TCK-2026-020,2026-04-18,,Ouvert,Bizerte,Acces,
TCK-2026-021,2026-05-03,2026-05-05,Ferme,Sousse,Email,4
TCK-2026-022,2026-05-06,,Ouvert,Tunis,Reseau,
TCK-2026-023,2026-05-10,2026-05-12,Ferme,Sfax,Materiel,5
TCK-2026-024,2026-05-14,2026-05-16,Ferme,Bizerte,Logiciel,4
TCK-2026-025,2026-05-21,,Ouvert,Sousse,Acces,
TCK-2026-026,2026-06-01,2026-06-02,Ferme,Tunis,Materiel,4
TCK-2026-027,2026-06-05,,Ouvert,Sfax,Email,
TCK-2026-028,2026-06-08,2026-06-10,Ferme,Sousse,Reseau,3
TCK-2026-029,2026-06-12,2026-06-13,Ferme,Tunis,Acces,5
TCK-2026-030,2026-06-18,,Ouvert,Bizerte,Logiciel,
TCK-2026-031,2026-07-02,2026-07-04,Ferme,Sfax,Materiel,4
TCK-2026-032,2026-07-05,,Ouvert,Tunis,Reseau,
TCK-2026-033,2026-07-09,2026-07-11,Ferme,Sousse,Email,5
TCK-2026-034,2026-07-13,2026-07-15,Ferme,Bizerte,Acces,3
TCK-2026-035,2026-07-22,,Ouvert,Sfax,Logiciel,
TCK-2026-036,2026-08-01,,Ouvert,Tunis,Materiel,
TCK-2026-037,2026-08-02,2026-08-03,Ferme,Sousse,Reseau,4
TCK-2026-038,2026-08-03,,Ouvert,Sfax,Email,
TCK-2026-039,2026-08-04,,Ouvert,Bizerte,Acces,
TCK-2026-040,2026-08-05,2026-08-06,Ferme,Tunis,Logiciel,5
TCK-2026-041,2026-08-06,,Ouvert,Sousse,Materiel,
TCK-2026-042,2026-08-07,,Ouvert,Tunis,Reseau,
TCK-2026-043,2026-08-09,2026-08-10,Ferme,Sfax,Acces,4
TCK-2026-044,2026-08-11,,Ouvert,Bizerte,Email,
TCK-2026-045,2026-08-13,2026-08-15,Ferme,Sousse,Logiciel,3
TCK-2026-046,2026-08-16,,Ouvert,Tunis,Acces,
TCK-2026-047,2026-08-18,,Ouvert,Sfax,Reseau,
TCK-2026-048,2026-08-19,2026-08-21,Ferme,Bizerte,Materiel,4
TCK-2026-049,2026-08-22,,Ouvert,Sousse,Email,
TCK-2026-050,2026-08-24,,Ouvert,Tunis,Logiciel,
